typ,arkusz,naglowek,plan_ustawa_2025,plan_po_zmianach_2025,wykonanie_2025_FTE
państwowa osoba prawna,44 DPN,44.0 / 250.0 / VERSION_ID / 68097822.0 / DRAWIEŃSKI PARK NARODOWY / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 44 / XX_RAP_SPRAW_Z37 / YEAR / 2025.0 / Część ,48.0,48.0,43.0
państwowa osoba prawna,45 GPN,45.0 / 251.0 / VERSION_ID / 68033199.0 / GORCZAŃSKI PARK NARODOWY / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 45 / XX_RAP_SPRAW_Z37 / YEAR / 2025.0 / Część ,46.0,46.0,43.0
państwowa osoba prawna,46 PNGS,46.0 / 253.0 / VERSION_ID / 68806585.0 / PARK NARODOWY GÓR STOŁOWYCH / Formatted: / Y / DOC_ATT_TYPE / 14.0 / TABELA 46 / XX_RAP_SPRAW_Z37 / YEAR / 2025.0 / Czę,46.0,46.0,45.0
państwowa osoba prawna,47 KPN,47.0 / 251.0 / VERSION_ID / 68559076.0 / KAMPINOSKI PARK NARODOWY / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 47 / XX_RAP_SPRAW_Z37 / YEAR / 2025.0 / Część ,144.0,144.0,137.0
państwowa osoba prawna,48 KARKPN,48.0 / 251.0 / VERSION_ID / 68561941.0 / KARKONOSKI PARK NARODOWY / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 48 / XX_RAP_SPRAW_Z37 / YEAR / 2025.0 / Część ,84.0,84.0,84.0
państwowa osoba prawna,49 MPN,49.0 / 250.0 / VERSION_ID / 68382414.0 / MAGURSKI PARK NARODOWY / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 49 / XX_RAP_SPRAW_Z37 / YEAR / 2025.0 / Część A ,84.0,84.0,73.8
państwowa osoba prawna,50 NPN,50.0 / 251.0 / VERSION_ID / 68095576.0 / NARWIAŃSKI PARK NARODOWY / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 50 / XX_RAP_SPRAW_Z37 / YEAR / 2025.0 / Część ,23.0,23.0,23.0
państwowa osoba prawna,51 OPN,51.0 / 251.0 / VERSION_ID / 68475632.0 / OJCOWSKI PARK NARODOWY / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 51 / XX_RAP_SPRAW_Z37 / YEAR / 2025.0 / Część A ,40.0,40.0,40.0
państwowa osoba prawna,52 PPN,52.0 / 250.0 / VERSION_ID / 68382318.0 / PIENIŃSKI PARK NARODOWY / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 52 / XX_RAP_SPRAW_Z37 / YEAR / 2025.0 / Część A,46.0,46.0,44.0
państwowa osoba prawna,53 POLPN,53.0 / 250.0 / VERSION_ID / 68021601.0 / POLESKI PARK NARODOWY / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 53 / XX_RAP_SPRAW_Z37 / YEAR / 2025.0 / Część A /,42.0,42.0,41.0
państwowa osoba prawna,54 RPN,54.0 / 250.0 / VERSION_ID / 68484967.0 / ROZTOCZAŃSKI PARK NARODOWY / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 54 / XX_RAP_SPRAW_Z37 / YEAR / 2025.0 / Częś,81.0,81.0,76.8
państwowa osoba prawna,55 SPN,55.0 / 250.0 / VERSION_ID / 68477773.0 / SŁOWIŃSKI PARK NARODOWY / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 55 / XX_RAP_SPRAW_Z37 / YEAR / 2025.0 / Część A,83.0,83.0,76.0
