dept,jednostka,url,liczba,zdanie
DLL,"PIERWSZY URZĄD SKARBOWY W LUBLINIE 20-027 LUBLIN, UL. SĄDOWA 5 Wystąpienie Data publikacji","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dll~p_26_001_202601120841541768203714~id5~01,typ,kj.pdf",,NOT_FOUND
DLL,"URZĄD GMINY GŁUSK UL. RYNEK 1, DOMINÓW 20-388 LUBLIN Wystąpienie Data publikacji : 2026-08","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dll~p_26_001_202601120841541768203714~id6~01,typ,kj.pdf",,NOT_FOUND
DLL,"WOJEWÓDZKI INSPEKTORAT FARMACEUTYCZNY W LUBLINIE UL. LUBOMELSKA 1-3, 20-074 LUBLIN Wystąpi","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dll~p_26_001_202601120841541768203714~id1~01,typ,kj.pdf","23,5","Przeciętne zatrudnienie w LWIF w latach 2024-2025 nie uległo istotnym zmianom, w 2025 r. wyniosło 23,5 etatu"
DLL,"WOJEWÓDZKI SĄD ADMINISTRACYJNY W LUBLINIE UL. M. SKŁODOWSKIEJ-CURIE 40, 20-029 LUBLIN Wyst","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dll~p_26_001_202601120841541768203714~id4~01,typ,kj.pdf","77,3","Przeciętne zatrudnienie7 w Sądzie, w przeliczeniu na pełne etaty wyniosło 77,3 osoby i było niższe w porównaniu do 2024 r. o 2 etaty, tj. 2,5%. Spadek przeciętnego zatrudnienia wynikał głównie z niższego zatrudnienia w grupie ases"
DLL,"WOJEWÓDZKI URZĄD OCHRONY ZABYTKÓW W LUBLINIE 20-113 LUBLIN, UL. ARCHIDIAKOŃSKA 4 Wystąpien","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dll~p_26_001_202601120841541768203714~id2~01,typ,kj.pdf","62,1","Jeśli nie zostały spełnione warunki do sformułowania oceny pozytywnej bądź negatywnej, Najwyższa Izba Kontroli formułuje ocenę w formie opisowej. 3z8 Według danych przyjętych do wyliczenia mierników wykazanych w sprawozdaniu z wyk"
DLO,"ŁÓDZKI URZĄD WOJEWÓDZKI ul. Piotrkowska 104, 90-926 ŁÓDŹ Wystąpienie Data publikacji : 202","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dlo~p_26_001_202601120841541768203714~id0~01,typ,kj.pdf",3028,Według sprawozdania Rb-70 przeciętne zatrudnienie w części 85/10 wyniosło 3 028 etatów i zwiększyło się w porównaniu do 2024 r. o 37 etatów
DLO,"ŁÓDZKI URZĄD WOJEWÓDZKI ul. Piotrkowska 104, 90-926 ŁÓDŹ Wystąpienie Data publikacji : 202","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dlo~p_26_001_202601120841541768203714~id0~01,typ,kj.pdf",,"Jednocześnie przy ogólnej tendencji zwyżkowej, dysponent części 85/10 odnotował w dziale 851 Ochrona zdrowia, spadek przeciętnego zatrudnienia o dziewięć etatów, związany głównie z reorganizacją pracy w Wojewódzkiej Stacji Sanitar"
DLO,"ŁÓDZKI URZĄD WOJEWÓDZKI ul. Piotrkowska 104, 90-926 ŁÓDŹ Wystąpienie Data publikacji : 202","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dlo~p_26_001_202601120841541768203714~id0~01,typ,kj.pdf",924,"Wzrost ten spowodowany był głównie zwiększeniem kwoty bazowej wynagrodzeń w służbie cywilnej, wzrostem dodatkowego wynagrodzenia rocznego za 2024 r. w związku z podwyższeniem wynagrodzeń w 2024 r. o 20% w stosunku do roku 2023 ora"
DLO,"PIERWSZY URZĄD SKARBOWY ŁÓDŹ-BAŁUTY ul. Zachodnia 47, 91-066 ŁÓDŹ Wystąpienie Data publika","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dlo~p_26_001_202601120841541768203714~id3~01,typ,kj.pdf",,NOT_FOUND
DLO,"URZĄD MARSZAŁKOWSKI WOJEWÓDZTWA ŁÓDZKIEGO al. Piłsudskiego 8, 90-051 ŁÓDŹ Wystąpienie Data","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dlo~p_26_001_202601120841541768203714~id4~01,typ,kj.pdf",,NO_TEXT_LAYER(skan)
